time	serving_cell_id	ue_id	distance_to_cell(m)	throughput(Mb/s)	sc_power(dBm)	rsrp(dBm)	sinr(dB)	cqi	mcs
0.0	2	10	237.89604491893328	-inf	100.0	-inf			
0.0	3	4	174.88439530810987	-inf	100.0	-inf			
0.0	4	5	210.6196045956311	-inf	100.0	-inf			
0.0	5	8	154.49603753591947	-inf	100.0	-inf			
0.0	5	2	99.33987388507143	-inf	100.0	-inf			
0.0	6	3	66.79085243970329	-inf	100.0	-inf			
0.0	8	6	216.36613352651182	-inf	100.0	-inf			
0.0	9	0	183.26367699428152	-inf	100.0	-inf			
0.0	9	7	168.28449466740233	-inf	100.0	-inf			
0.0	11	1	174.5320769561789	-inf	100.0	-inf			
0.0	11	9	181.75158754856793	-inf	100.0	-inf			
1.0	2	10	237.89604491893328	2.344	100.0	8.791729853792248	-2.3156179785249984	0.0	0.0
1.0	3	4	174.88439530810987	4.902	100.0	11.692625100754782	0.9179613354722469	2.0	3.0
1.0	4	5	210.6196045956311	3.066	100.0	9.942560454518258	-1.5910237012326236	1.0	1.0
1.0	5	8	154.49603753591947	3.7009999999999996	100.0	12.853187317755157	1.4118249616707872	3.0	5.0
1.0	5	2	99.33987388507143	6.631	100.0	16.921791375762282	5.844532812522506	5.0	9.0
1.0	6	3	66.79085243970329	21.602	100.0	20.417309002028148	11.761165622897531	8.0	14.0
1.0	8	6	216.36613352651182	3.066	100.0	9.688449447399051	-1.7818638683005374	1.0	1.0
1.0	9	0	183.26367699428152	2.451	100.0	11.253044744981196	-0.5093295932812637	2.0	3.0
1.0	9	7	168.28449466740233	2.451	100.0	12.053406600931567	0.3992052617307051	2.0	3.0
1.0	11	1	174.5320769561789	3.7009999999999996	100.0	11.711550349239786	1.4413604638962443	3.0	5.0
1.0	11	9	181.75158754856793	2.451	100.0	11.330913699453276	0.7673745888603255	2.0	3.0
